0.00011903,0.00011419,0.00011421,0.00011664,0.00012359,0.00012963,0.00014154,0.00015444,0.00016939,0.00019078,0.00022755,0.00026136,0.00028766,0.00032294,0.00035309,0.00037053,0.0003936,0.00041172,0.00043557,0.00045006,0.00046496,0.00048183,0.00049051,0.00049899,0.00051801,0.00052347,0.00053847,0.00055002,0.00055933,0.00057481,0.00058106,0.00059015,0.00059741,0.00060139,0.00061995,0.0006303,0.00064621,0.00066613,0.00069842,0.00072039,0.00077666,0.00080104,0.00083092,0.00087453,0.00091014,0.00095904,0.00099109,0.001035,0.0010642,0.0010852,0.0010946,0.0010985,0.0010952,0.0010764,0.0010408,0.0010116,0.00098741,0.00092949,0.00086635,0.00075421,0.00071646,0.00061761,0.00063686,0.00064396,0.00062917,0.00060418,0.00051852,0.0005033,0.00042045,0.00038753,0.00035767,0.00039155,0.00035931,0.00036216,0.00036653,0.00036226,0.00052912,0.0003023,0.00025986,0.0002491,0.00024601,0.00023995,0.00025718,0.00029564
0.00015017,0.00015024,0.00015372,0.0001621,0.00016888,0.00018077,0.00019735,0.00022139,0.00024566,0.00027946,0.00034323,0.00040665,0.00043625,0.00049462,0.00054045,0.00057663,0.00060895,0.00064242,0.00067287,0.00071111,0.00072935,0.00074648,0.00077679,0.00079375,0.00081267,0.00082737,0.00084614,0.00086514,0.00087995,0.00089003,0.0009124,0.00093053,0.00093648,0.00095049,0.00097192,0.00097867,0.0010143,0.0010371,0.0010766,0.0011202,0.0011905,0.0012302,0.0012844,0.0013468,0.0013878,0.0014625,0.0015321,0.0015825,0.0016293,0.0016582,0.0016641,0.0016508,0.0016293,0.0016113,0.0015846,0.0015246,0.0014603,0.0013853,0.001301,0.0011159,0.001075,0.00093307,0.00094472,0.00095191,0.00093815,0.00089102,0.00075838,0.00074019,0.00062507,0.00056468,0.00052501,0.00055364,0.00052632,0.00052375,0.00052118,0.00051652,0.00076296,0.00041779,0.00035139,0.00032092,0.00031833,0.00030449,0.00030605,0.00034203
0.00019485,0.00019317,0.0002021,0.0002105,0.00022709,0.00025112,0.00027262,0.00030339,0.00033636,0.0003932,0.00047618,0.00056515,0.00062679,0.00070372,0.00076224,0.00081487,0.00087524,0.00092284,0.00096181,0.0010051,0.001044,0.001086,0.0011046,0.0011358,0.0011674,0.0011919,0.0012192,0.0012277,0.0012533,0.0012928,0.001296,0.0013163,0.00134,0.0013541,0.0013793,0.0014104,0.0014256,0.0014648,0.0015244,0.0015876,0.001679,0.0017378,0.0018071,0.0018795,0.0019632,0.0020239,0.0021191,0.002192,0.0022442,0.0022779,0.0022923,0.0022634,0.0022491,0.002205,0.0021434,0.0020909,0.0019958,0.0018944,0.0017687,0.0015321,0.0014601,0.0012613,0.0012722,0.0012833,0.0012595,0.0011976,0.0010225,0.00098981,0.00083696,0.00076067,0.00069346,0.00074721,0.00069657,0.0006938,0.00069168,0.00067556,0.00099884,0.00053299,0.00044694,0.00039635,0.00038438,0.00035996,0.00037361,0.00040863
0.0002482,0.00025173,0.00026088,0.00027557,0.00029983,0.00033022,0.00036478,0.00039921,0.00044945,0.0005269,0.00062977,0.00075951,0.00083565,0.00093919,0.0010263,0.0011073,0.0011738,0.0012401,0.0012927,0.00136,0.0014042,0.0014589,0.0014977,0.001532,0.0015738,0.0016001,0.0016305,0.0016669,0.001699,0.0017185,0.0017505,0.0017732,0.0018028,0.0018181,0.0018505,0.0018785,0.0019273,0.0019739,0.0020278,0.0021197,0.0022449,0.0023,0.0023712,0.0024849,0.0025784,0.0026733,0.0027816,0.0028522,0.0029195,0.0029508,0.0029566,0.0029117,0.0028807,0.0028241,0.002751,0.0026538,0.002532,0.0024079,0.0022265,0.0019311,0.0018554,0.0016091,0.0016289,0.0016191,0.0015807,0.0014985,0.0012943,0.0012419,0.0010433,0.00094451,0.00086295,0.00092696,0.00086168,0.00086477,0.00086273,0.00084437,0.0012589,0.00065454,0.00053732,0.0004695,0.0004479,0.00041438,0.00042432,0.00045732
0.00031336,0.00032655,0.00033651,0.00035441,0.00038782,0.00042624,0.00047328,0.00052031,0.00058706,0.00068552,0.0008311,0.00098129,0.0010905,0.0012253,0.0013357,0.0014386,0.0015349,0.0016125,0.0016889,0.0017722,0.0018308,0.001889,0.0019538,0.0019925,0.0020448,0.0020938,0.0021191,0.0021724,0.0022035,0.0022392,0.0022665,0.0022976,0.0023268,0.0023586,0.0023894,0.0024266,0.00246,0.0025184,0.0026108,0.0027227,0.0028559,0.0029299,0.0030175,0.0031526,0.0032335,0.0033758,0.0034553,0.0035468,0.0036354,0.0036547,0.0036319,0.0036171,0.0035389,0.0034726,0.0033655,0.0032459,0.0030837,0.0029216,0.0027353,0.0023636,0.0022732,0.0019519,0.0019853,0.0019668,0.001925,0.0018321,0.0015789,0.001478,0.0012694,0.0011418,0.0010387,0.0011074,0.0010435,0.0010303,0.0010364,0.00099764,0.0015141,0.00078057,0.0006237,0.00055218,0.00051837,0.00047811,0.00047023,0.00051326
0.00039148,0.00040806,0.00042935,0.00045593,0.00049275,0.00053987,0.00060125,0.0006663,0.00074854,0.00086745,0.0010497,0.0012574,0.00139,0.0015613,0.001713,0.0018395,0.0019518,0.0020742,0.0021552,0.0022693,0.0023357,0.0024177,0.0024852,0.0025398,0.0025904,0.0026344,0.0027002,0.0027573,0.0027936,0.0028381,0.0028617,0.0029034,0.0029402,0.0029783,0.0030153,0.0030579,0.0030889,0.0031656,0.003251,0.0033778,0.0035634,0.0036445,0.0037484,0.0038931,0.0039827,0.0041408,0.0042087,0.004309,0.0043811,0.0044136,0.0043643,0.0042795,0.0042115,0.0041356,0.0040013,0.0038451,0.0036724,0.0034714,0.0032175,0.0027851,0.0026602,0.0023184,0.0023371,0.0023109,0.0022589,0.0021422,0.0018611,0.0017418,0.0014946,0.0013249,0.0012076,0.0012959,0.0012236,0.0012035,0.0012033,0.0011741,0.0017582,0.00089283,0.00070951,0.00063361,0.00058376,0.00053373,0.00051858,0.00057135
0.00049491,0.00051387,0.00053538,0.00056846,0.00062283,0.00067839,0.00074726,0.00083623,0.00094944,0.001095,0.0013191,0.0015755,0.0017528,0.0019551,0.0021337,0.0022961,0.002442,0.0025898,0.0027049,0.0028428,0.0029329,0.003021,0.00308,0.0031751,0.0032285,0.0033084,0.0033574,0.0034087,0.0034776,0.0035181,0.0035511,0.0036102,0.0036298,0.0036763,0.0037142,0.0037712,0.0038098,0.0038792,0.0039959,0.0041257,0.0043085,0.0044065,0.0045153,0.0046698,0.0047757,0.0049113,0.0050269,0.0051165,0.0051724,0.0051748,0.0050897,0.0050374,0.0049372,0.0048107,0.0046497,0.0044756,0.0042402,0.0039961,0.0037195,0.0032263,0.0030689,0.0026902,0.0026949,0.0026483,0.0025879,0.0024625,0.0021386,0.0019898,0.0017126,0.0015301,0.0013858,0.001483,0.0013825,0.0013856,0.0013824,0.0013286,0.0020099,0.0010081,0.00081369,0.00069771,0.00064153,0.00059901,0.00056977,0.00062328
0.00074455,0.00077084,0.00081526,0.0008622,0.00094221,0.0010471,0.0011565,0.0012756,0.0014354,0.00167,0.0020139,0.0024084,0.0026454,0.0029905,0.0032376,0.0034928,0.0037232,0.003912,0.0040986,0.0042658,0.0043976,0.0045555,0.0046506,0.0047538,0.0048481,0.0049232,0.0050042,0.0050716,0.0051409,0.0051763,0.0052375,0.0052854,0.0053173,0.0053633,0.0053967,0.0054494,0.005493,0.0055706,0.0057233,0.0058352,0.0060311,0.0061787,0.0062698,0.0064418,0.0065725,0.0066929,0.0068032,0.006852,0.006861,0.0067914,0.0066116,0.0064703,0.0063329,0.0061688,0.0059121,0.0056473,0.0053878,0.0050343,0.0046709,0.0040743,0.0038702,0.003389,0.0033629,0.0032824,0.0032068,0.0030234,0.0026651,0.0024407,0.0021078,0.0018717,0.0016966,0.001808,0.0017089,0.001697,0.0016836,0.001627,0.0024873,0.0012231,0.00096539,0.00083441,0.00075915,0.00068889,0.00066563,0.00070714
0.0013112,0.0013652,0.0014383,0.0015239,0.0016665,0.001839,0.0020421,0.00226,0.0025427,0.0029579,0.0035597,0.0042124,0.0046383,0.0051993,0.0056393,0.0060415,0.0063906,0.0067103,0.0069798,0.0072664,0.0074907,0.0076736,0.0078127,0.0079696,0.0080966,0.0081822,0.0082241,0.0083473,0.0084064,0.0084498,0.0084619,0.0084713,0.0084905,0.0085148,0.0085269,0.0085446,0.0085779,0.0086156,0.0087373,0.0088566,0.0090431,0.0090907,0.0091681,0.0092941,0.0093685,0.0094349,0.0094188,0.0093731,0.0092579,0.0089731,0.0085869,0.0083897,0.0081324,0.0078152,0.0074896,0.0070867,0.0067193,0.0062886,0.005818,0.0050738,0.0048179,0.0042059,0.0041519,0.0039985,0.0038661,0.0036443,0.0032896,0.0028957,0.0025663,0.002235,0.0019898,0.0021805,0.0020539,0.0020343,0.0020047,0.0019497,0.0029946,0.0014503,0.001135,0.00097288,0.00086461,0.00079035,0.00075403,0.00080921
0.0021724,0.0022533,0.0023879,0.0025459,0.0027649,0.0030558,0.0033935,0.0037549,0.0042208,0.0048623,0.0058559,0.0069052,0.0075481,0.008419,0.0090623,0.0096769,0.010183,0.010637,0.011079,0.011425,0.011677,0.011912,0.012053,0.012222,0.01233,0.012373,0.012427,0.012453,0.012477,0.012483,0.012411,0.012373,0.012277,0.012229,0.012143,0.012069,0.012005,0.011941,0.012016,0.011993,0.012045,0.012052,0.011989,0.011997,0.011936,0.011828,0.011709,0.011431,0.011067,0.010678,0.010016,0.0097068,0.0093422,0.0089183,0.0084524,0.0079848,0.0074576,0.0069555,0.0063888,0.0056421,0.0053005,0.0046908,0.0045801,0.0043183,0.0041808,0.003918,0.0035912,0.0030854,0.0027591,0.0023741,0.002119,0.0023127,0.0021868,0.0021727,0.002159,0.002088,0.0032283,0.0015278,0.0011931,0.0010119,0.00090621,0.00081603,0.0007887,0.00083301
